,URL,State/Postal,Prices,Address,beds,links
50,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",274900.0," 80 E Blake Ave, Columbus, OH 43202 "," 1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1 570 - Condo for sale</li></ul>","https://www.zillow.com/homedetails/80-E-Blake-Ave-Columbus-OH-43202/33841216_zpid/""tabindex=""0""><addressclass=""list-card-addr"">80EBlakeAve,Columbus,OH43202</address></a>"
51,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",299900.0," 6201 Norway Glen Ave, Columbus, OH 43230 "," 4 3 2,448 - House for sale</li></ul>","https://www.zillow.com/homedetails/6201-Norway-Glen-Ave-Columbus-OH-43230/71237815_zpid/""tabindex=""0""><addressclass=""list-card-addr"">6201NorwayGlenAve,Columbus,OH43230</address></a>"
52,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",119900.0," 2531 Broadleaf Ct, Columbus, OH 43224 "," 3 2 1,564 - House for sale</li></ul>","https://www.zillow.com/homedetails/2531-Broadleaf-Ct-Columbus-OH-43224/33936406_zpid/""tabindex=""0""><addressclass=""list-card-addr"">2531BroadleafCt,Columbus,OH43224</address></a>"
53,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",399900.0," 987 Larkstone Dr, Columbus, OH 43235 "," 4 2 1,472 - House for sale</li></ul>","https://www.zillow.com/homedetails/987-Larkstone-Dr-Columbus-OH-43235/34050235_zpid/""tabindex=""0""><addressclass=""list-card-addr"">987LarkstoneDr,Columbus,OH43235</address></a>"
54,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",82500.0," 2595 McGuffey Rd, Columbus, OH 43211 "," 3 3 1,774 - House for sale</li></ul>","https://www.zillow.com/homedetails/2595-McGuffey-Rd-Columbus-OH-43211/33871771_zpid/""tabindex=""0""><addressclass=""list-card-addr"">2595McGuffeyRd,Columbus,OH43211</address></a>"
55,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",209900.0," 4642 N High St #4642, Columbus, OH 43214 "," 4 3 2,121 - House for sale</li></ul>","https://www.zillow.com/homedetails/4642-N-High-St-4642-Columbus-OH-43214/2064329214_zpid/""tabindex=""0""><addressclass=""list-card-addr"">4642NHighSt#4642,Columbus,OH43214</address></a>"
56,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",82500.0," 2440 Ravenel Dr, Columbus, OH 43209 "," 4 3 2,180 - House for sale</li></ul>","https://www.zillow.com/homedetails/2440-Ravenel-Dr-Columbus-OH-43209/33936243_zpid/""tabindex=""0""><addressclass=""list-card-addr"">2440RavenelDr,Columbus,OH43209</address></a>"
57,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",339900.0," 161 E Oakland Ave, Columbus, OH 43201 "," 2 2 1,088 - House for sale</li></ul>","https://www.zillow.com/homedetails/161-E-Oakland-Ave-Columbus-OH-43201/33851331_zpid/""tabindex=""0""><addressclass=""list-card-addr"">161EOaklandAve,Columbus,OH43201</address></a>"
58,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",399900.0," 106 N High St APT 501, Columbus, OH 43215 ", 4 1 936 - House for sale</li></ul>,"https://www.zillow.com/homedetails/106-N-High-St-APT-501-Columbus-OH-43215/2140021324_zpid/""tabindex=""0""><addressclass=""list-card-addr"">106NHighStAPT501,Columbus,OH43215</address></a>"
59,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",176000.0," 1857 S Tamarack Crk, Columbus, OH 43229 "," 1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1 570 - Condo for sale</li></ul>","https://www.zillow.com/homedetails/1857-S-Tamarack-Crk-Columbus-OH-43229/33926910_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1857STamarackCrk,Columbus,OH43229</address></a>"
60,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",875000.0," 1167 Neil Ave, Columbus, OH 43201 "," 4 3 2,448 - House for sale</li></ul>","https://www.zillow.com/homedetails/1167-Neil-Ave-Columbus-OH-43201/103772239_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1167NeilAve,Columbus,OH43201</address></a>"
61,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",405000.0," 3021 Carrock Ct, Columbus, OH 43219 "," 3 2 1,564 - House for sale</li></ul>","https://www.zillow.com/homedetails/3021-Carrock-Ct-Columbus-OH-43219/80902708_zpid/""tabindex=""0""><addressclass=""list-card-addr"">3021CarrockCt,Columbus,OH43219</address></a>"
62,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",167777.0," 5544 Parkshire Dr, Columbus, OH 43229 "," 4 2 1,472 - House for sale</li></ul>","https://www.zillow.com/homedetails/5544-Parkshire-Dr-Columbus-OH-43229/33949727_zpid/""tabindex=""0""><addressclass=""list-card-addr"">5544ParkshireDr,Columbus,OH43229</address></a>"
63,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",106000.0," 3164 Hamilton Ave, Columbus, OH 43224 "," 3 3 1,774 - House for sale</li></ul>","https://www.zillow.com/homedetails/3164-Hamilton-Ave-Columbus-OH-43224/33887994_zpid/""tabindex=""0""><addressclass=""list-card-addr"">3164HamiltonAve,Columbus,OH43224</address></a>"
64,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",285000.0," 1814 Hess Blvd, Columbus, OH 43212 "," 4 3 2,121 - House for sale</li></ul>","https://www.zillow.com/homedetails/1814-Hess-Blvd-Columbus-OH-43212/34026931_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1814HessBlvd,Columbus,OH43212</address></a>"
65,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",414900.0," 565 Lathrop St, Columbus, OH 43206 "," 4 3 2,180 - House for sale</li></ul>","https://www.zillow.com/homedetails/565-Lathrop-St-Columbus-OH-43206/33850839_zpid/""tabindex=""0""><addressclass=""list-card-addr"">565LathropSt,Columbus,OH43206</address></a>"
